model,input_window,output_window,MAE_train,MAE_val,MAE_test,params,epochs_trained,improvement_abs_vs_lr,improvement_pct_vs_lr
Linear_Regression_Benchmark,30,5,0.005337319584572,,0.0058767446294091,,,0.0,0.0
CNN_Deep_Conv1D,30,5,0.005476552334790779,0.004152558371118631,0.005576700421899981,93399.0,24.0,0.00030004420750911944,5.105619291462875
