,model_top4_equal,model_top4_riskadjusted,model_top4_threshold,model_top4_propweights,model_longshort,bench_reversion_zscore_90d,bench_reversion_zscore_input,bench_reversion_longshort,bench_equalweight
2025-03-21,104.1071,106.0117,104.1071,103.8484,100.8819,105.5368,98.9304,103.1441,105.1439
2025-03-24,104.5505,106.0611,104.5505,104.3219,99.9801,105.7827,99.8275,102.8339,105.8055
2025-03-25,104.4225,105.4421,104.4225,104.2652,98.565,105.0868,99.5707,102.3282,105.6564
2025-03-26,105.4517,106.8419,105.4517,105.3014,99.4161,105.7824,100.4169,102.8997,106.1354
2025-03-27,105.9196,107.6606,105.9196,105.7573,100.2789,106.0538,100.5056,103.0305,106.0176
2025-03-28,105.7605,107.5372,105.7605,105.5544,100.5348,105.6205,99.7653,103.4346,105.312
2025-03-31,107.1097,109.4801,107.1097,106.973,100.4525,106.5457,101.0402,104.2304,106.2979
2025-04-01,106.5473,109.7159,106.5473,106.4558,99.9275,105.6359,101.7871,103.6621,105.9128
2025-04-02,106.3407,109.5363,106.3407,106.2313,99.4822,105.9424,101.6908,104.7215,105.7568
2025-04-03,102.0482,108.3752,102.0482,102.2812,98.3532,97.0977,92.7555,94.4562,102.5968
2025-04-04,95.004,102.543,95.004,95.3294,96.6395,91.6655,85.5399,92.6752,96.457
2025-04-07,94.5567,101.2296,94.5567,94.8129,97.6253,91.6411,86.0421,94.7518,95.4078
2025-04-08,94.6498,101.2685,94.6498,95.0118,99.9627,88.5908,84.1411,91.5666,94.2501
2025-04-09,102.2135,106.0432,102.2135,102.2859,102.1323,96.6314,92.5938,98.498,99.5596
2025-04-10,100.6628,105.2621,100.6628,100.8803,102.6491,91.3455,88.7259,92.9128,97.2876
2025-04-11,102.2534,106.9859,102.2534,102.5053,102.438,92.6368,90.1207,93.3378,98.7236
2025-04-14,103.2828,108.1218,103.2828,103.5109,101.9584,93.5263,91.5985,92.521,99.9472
2025-04-15,102.5059,107.9005,102.5059,102.803,101.1278,92.7303,90.7842,91.7573,99.4435
2025-04-16,101.7828,106.7018,101.7828,102.0801,101.7339,91.0227,89.068,90.6265,98.5283
2025-04-17,103.4393,107.7942,103.4393,103.6119,102.9121,92.7125,89.5983,91.319,99.9125
2025-04-21,102.2111,106.4541,102.2111,102.4022,103.7108,91.7227,87.7655,91.5014,98.5235
2025-04-22,103.9428,108.2881,103.9428,104.084,103.0428,93.5554,91.7434,91.2021,100.8854
2025-04-23,104.3461,107.1783,104.3461,104.1663,102.8116,94.6147,93.0285,92.3859,101.0679
2025-04-24,106.0387,108.7147,106.0387,105.8464,105.6101,97.238,95.489,94.6521,101.7221
2025-04-25,105.9037,108.5242,105.9037,105.6862,105.1421,98.1014,95.2636,96.0669,101.7087
2025-04-28,106.7101,108.7278,106.7101,106.3977,105.3201,98.3574,95.8114,96.0022,102.2379
2025-04-29,108.3594,110.4538,108.3594,107.9939,105.8557,99.2332,95.9954,96.2119,103.0236
2025-04-30,108.5951,110.8943,108.5951,108.2165,106.6873,99.5158,96.4047,95.8192,103.0124
2025-05-01,108.5865,110.8097,108.5865,108.2066,108.2683,99.1039,96.668,95.7127,102.4273
2025-05-02,109.6927,111.8293,109.6927,109.2662,109.5992,100.8454,99.1661,97.4875,103.2322
2025-05-05,109.8855,111.7964,109.8855,109.4292,110.4826,100.5457,98.9979,97.2148,102.8142
2025-05-06,109.3769,111.3823,109.3769,108.9431,109.3792,98.9577,98.0388,95.0388,102.5902
2025-05-07,109.9989,112.1696,109.9989,109.5317,109.627,101.7144,98.4678,97.1398,103.4527
2025-05-08,110.9147,111.3882,110.9147,110.3587,110.8121,102.767,100.2049,100.3332,103.4862
2025-05-09,110.6793,110.3995,110.6793,110.056,111.4937,102.6396,100.7516,100.8292,103.2879
2025-05-12,111.2998,109.9891,111.2998,110.6036,109.9912,108.3237,105.5915,109.7311,104.6919
2025-05-13,111.2726,109.1542,111.2726,110.4426,109.7545,108.5027,107.2314,111.1446,104.317
2025-05-14,111.0098,108.6563,111.0098,110.1288,108.4311,107.398,106.5787,110.3075,103.9643
2025-05-15,113.5183,111.5715,113.5183,112.7021,108.8588,107.842,107.593,107.8064,105.8458
2025-05-16,114.3092,112.6244,114.3092,113.529,109.0047,109.3802,109.4562,107.798,106.8852
2025-05-19,114.8413,113.3326,114.8413,114.0737,108.8871,109.3296,109.767,107.009,107.196
2025-05-20,115.4218,113.4211,115.4218,114.6154,110.0151,109.1647,109.4117,106.7486,107.1199
2025-05-21,113.7783,112.2341,113.7783,113.0178,109.8095,107.4627,107.469,106.0138,105.8598
2025-05-22,113.8905,112.2567,113.8905,113.1037,110.8121,108.031,107.2645,107.4558,105.4556
2025-05-23,113.5145,112.3539,113.5145,112.7307,110.5976,106.9626,106.6655,105.3869,105.4948
2025-05-27,114.2926,113.4311,114.2926,113.567,110.2465,108.5808,109.001,106.7984,106.471
2025-05-28,113.4828,112.1492,113.4828,112.68,110.5648,106.6226,107.7923,106.2132,105.3977
2025-05-29,114.6485,112.3282,114.6485,113.7378,111.6603,104.7128,105.8887,103.7928,105.5186
2025-05-30,115.6016,113.4785,115.6016,114.7553,112.5742,104.7667,105.5135,102.9194,105.9069
2025-06-02,115.7471,113.2187,115.7471,114.7915,112.3852,104.3014,105.0879,102.5907,105.8576
2025-06-03,116.0847,113.2799,116.0847,115.0864,112.3956,105.6045,106.4009,104.2274,106.1341
2025-06-04,115.3556,112.4276,115.3556,114.3548,112.2624,105.7488,106.1613,105.8492,105.5297
2025-06-05,114.8271,112.1774,114.8271,113.8788,111.8277,104.7714,105.6339,105.0614,105.077
2025-06-06,115.4804,112.4083,115.4804,114.5123,111.9783,106.3839,106.7264,106.8482,105.8814
2025-06-09,116.1818,112.1548,116.1818,115.1109,112.395,107.2053,106.3394,107.9251,106.0254
2025-06-10,115.5876,111.5882,115.5876,114.5511,111.528,109.1007,105.9772,109.7418,106.4678
2025-06-11,115.7966,111.8448,115.7966,114.7866,111.7158,108.7887,106.6045,108.914,106.5698
2025-06-12,114.8411,112.5863,114.8411,114.0794,110.241,108.8325,105.3186,108.138,106.6119
2025-06-13,114.3906,112.5907,114.3906,113.7474,111.2277,107.3474,103.2527,106.8488,105.9286
2025-06-16,114.189,111.8898,114.189,113.469,110.473,108.8832,104.8654,109.4889,106.1284
2025-06-17,113.987,111.6971,113.987,113.3396,110.6963,107.0567,103.6689,108.0697,105.4553
2025-06-18,113.587,111.5413,113.587,112.9552,110.4063,107.3757,103.7745,108.486,105.2126
2025-06-20,113.881,111.8203,113.881,113.2356,110.8334,107.2212,104.4083,107.9048,105.8892
