loss,mae,val_loss,val_mae,learning_rate
0.0616401806473732,0.0616401806473732,0.010325906798243523,0.010325906798243523,0.0003000000142492354
0.005352989304810762,0.005352989304810762,0.0009424154413864017,0.0009424154413864017,0.0003000000142492354
0.0014073752099648118,0.0014073752099648118,0.0009330236352980137,0.0009330236352980137,0.0003000000142492354
0.0013166832504794002,0.0013166832504794002,0.0009357708622701466,0.0009357708622701466,0.0003000000142492354
0.0012987869558855891,0.0012987869558855891,0.0009373050997965038,0.0009373050997965038,0.0003000000142492354
0.001282910699956119,0.001282910699956119,0.0009344217833131552,0.0009344217833131552,0.0003000000142492354
0.0012797883246093988,0.0012797883246093988,0.0009333473863080144,0.0009333473863080144,0.0003000000142492354
0.001277267117984593,0.001277267117984593,0.0009382867137901485,0.0009382867137901485,0.0001500000071246177
0.0012727966532111168,0.0012727966532111168,0.0009386528981849551,0.0009386528981849551,0.0001500000071246177
0.0012718713842332363,0.0012718713842332363,0.0009381663985550404,0.0009381663985550404,0.0001500000071246177
0.001271593850106001,0.001271593850106001,0.0009385720477439463,0.0009385720477439463,0.0001500000071246177
0.0012743710540235043,0.0012743710540235043,0.0009381002746522427,0.0009381002746522427,0.0001500000071246177
0.001272612134926021,0.001272612134926021,0.0009358455426990986,0.0009358455426990986,7.500000356230885e-05
