bar_type,input_window,1,5,30,90
count,5,1007,1003,978,918
count,10,1002,998,973,913
count,30,982,978,953,893
count,90,922,918,893,833
dollar,5,907,903,878,818
dollar,10,902,898,873,813
dollar,30,882,878,853,793
dollar,90,822,818,793,733
time,5,16190,16186,16161,16101
time,10,16185,16181,16156,16096
time,30,16165,16161,16136,16076
time,90,16105,16101,16076,16016
volume,5,947,943,918,858
volume,10,942,938,913,853
volume,30,922,918,893,833
volume,90,862,858,833,773
