bar_type,description,threshold_type,threshold,n_bars,start_date,end_date,mean_days_per_bar,median_days_per_bar,mean_abs_return,return_std,return_skew,return_kurtosis
time,Daily time bars,calendar_day,1.0,16196,1962-01-02,2026-05-08,1.4511886384686632,1.0,0.011618433430667378,0.017139486685252944,-0.39692668239256523,19.32990383638606
count,Count bars: proxy for tick bars using daily observations,n_days,16.0,1013,1962-01-23,2026-05-08,23.202569169960473,23.0,0.048176370282565176,0.06738029259550046,-0.6979799715717264,8.25252179083998
volume,Daily volume bars using aggregated universe volume,total_volume,1697510830.147,953,1962-07-10,2026-05-08,24.488445378151262,18.0,0.04755943894713002,0.07017377206280088,-0.391259090534231,12.874494585959992
dollar,Daily dollar bars using aggregated universe dollar volume,total_dollar,60948403161.57152,913,1981-01-05,2026-05-08,18.156798245614034,10.0,0.037042155556043135,0.06207203651064659,1.5011541305517155,23.928179644237375
