bar_type,input_window,output_window,status,n_bars_available,n_samples_total,n_train,n_test,n_assets,start_date,end_date,sequence_file
volume,90,5,ok,952,858,772,86,23,1963-02-08,2026-05-08,data/preprocessing/sequences/volume/volume_input90_output5.npz
volume,90,30,ok,952,833,749,84,23,1963-02-08,2026-05-08,data/preprocessing/sequences/volume/volume_input90_output30.npz
volume,90,90,ok,952,773,695,78,23,1963-02-08,2026-05-08,data/preprocessing/sequences/volume/volume_input90_output90.npz
dollar,5,1,ok,912,907,816,91,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input5_output1.npz
dollar,5,5,ok,912,903,812,91,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input5_output5.npz
dollar,5,30,ok,912,878,790,88,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input5_output30.npz
dollar,5,90,ok,912,818,736,82,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input5_output90.npz
dollar,10,1,ok,912,902,811,91,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input10_output1.npz
dollar,10,5,ok,912,898,808,90,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input10_output5.npz
dollar,10,30,ok,912,873,785,88,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input10_output30.npz
dollar,10,90,ok,912,813,731,82,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input10_output90.npz
dollar,30,1,ok,912,882,793,89,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input30_output1.npz
dollar,30,5,ok,912,878,790,88,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input30_output5.npz
dollar,30,30,ok,912,853,767,86,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input30_output30.npz
dollar,30,90,ok,912,793,713,80,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input30_output90.npz
dollar,90,1,ok,912,822,739,83,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input90_output1.npz
dollar,90,5,ok,912,818,736,82,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input90_output5.npz
dollar,90,30,ok,912,793,713,80,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input90_output30.npz
dollar,90,90,ok,912,733,659,74,23,1984-01-04,2026-05-08,data/preprocessing/sequences/dollar/dollar_input90_output90.npz
