,d_optimal
AEP,0.30000000000000004
BA,0.2
CAT,0.30000000000000004
CNP,0.30000000000000004
CVX,0.30000000000000004
DIS,0.30000000000000004
DTE,0.4
ED,0.4
GD,0.30000000000000004
GE,0.30000000000000004
HON,0.30000000000000004
HPQ,0.30000000000000004
IBM,0.30000000000000004
IP,0.2
JNJ,0.4
KO,0.4
KR,0.4
MMM,0.30000000000000004
MO,0.4
MRK,0.30000000000000004
MSI,0.30000000000000004
PG,0.4
XOM,0.4
