config_id,config_name,input_window,output_window,seed,hidden_layers,neurons,activation,dropout_rate,l2,learning_rate,batch_size,batch_norm,MAE_train,MAE_val,epochs,best_epoch,best_history_val_loss,final_history_val_loss,n_params,train_rows,val_rows,test_rows,MAE_test
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,5,90,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0012934995735494898,0.0009547868504969894,87,67,0.0009594080620445311,0.0009674395550973713,22167,13033,1448,1610,0.0012977055180277877
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,10,1,42,4,64,elu,0.3,1e-05,0.003,128,True,0.011889752416675291,0.009074916869163927,99,79,0.009096534922719002,0.00915602222084999,29527,13101,1456,1618,0.012277443254238988
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,10,5,42,4,64,elu,0.3,1e-05,0.003,128,True,0.005524434247486899,0.004205461440225961,89,76,0.004214610904455185,0.00423106225207448,29527,13098,1455,1618,0.0056152745305045075
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,10,30,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0022439222853841384,0.0017643853075946115,99,79,0.0017648616340011358,0.0017859599320217967,29527,13078,1453,1615,0.0023703109005906767
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,10,90,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0012845953824973358,0.0009361893260171006,83,63,0.000953246490098536,0.0009665042161941528,29527,13029,1448,1609,0.0012760915991807803
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,30,1,42,4,64,elu,0.3,1e-05,0.003,128,True,0.011919535882287953,0.009057577039359685,78,58,0.009133076295256615,0.009180109947919846,58967,13085,1454,1616,0.012258055879758058
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,30,5,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0054897708285474075,0.0041699137520304404,100,80,0.004184729885309935,0.004268432967364788,58967,13081,1454,1616,0.005594652295399848
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,30,30,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0022779213610742625,0.0017599167613302638,89,69,0.0017701649339869618,0.0017840227810665965,58967,13062,1451,1613,0.0023897305947124152
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,30,90,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0012903008122477416,0.0009656320802743926,127,107,0.0009736467618495226,0.0009896134724840522,58967,13013,1446,1607,0.0012861949367227537
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,90,1,42,4,64,elu,0.3,1e-05,0.003,128,True,0.011900794308346382,0.009075426735140642,86,66,0.009244950488209724,0.009495297446846962,147287,13037,1448,1610,0.012270797590088818
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,90,5,42,4,64,elu,0.3,1e-05,0.003,128,True,0.005518332368945459,0.004213728977212229,110,90,0.004234052263200283,0.004321377724409103,147287,13033,1448,1610,0.005643388453595427
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,90,30,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0022095868928865728,0.0017132945855971005,105,85,0.0017133085057139397,0.0017972320783883333,147287,13013,1446,1607,0.002334662464111497
