config_id,config_name,input_window,output_window,seed,hidden_layers,neurons,activation,dropout_rate,l2,learning_rate,batch_size,batch_norm,MAE_train,MAE_val,epochs,best_epoch,best_history_val_loss,final_history_val_loss,n_params,train_rows,val_rows,test_rows
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,90,5,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.005385607717471369,0.004217736087858155,75,55,0.0044000232592225075,0.004555589519441128,138583,13033,1448,1610
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,30,90,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0010916612206752691,0.0009765395209143926,171,151,0.0010273694060742855,0.001028851605951786,50263,13013,1446,1607
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,10,5,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.00542028615337945,0.004176504856318743,97,79,0.00430868286639452,0.004336575046181679,20823,13098,1455,1618
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,90,1,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.011543328936527639,0.0092164692801189,126,106,0.009321458637714386,0.00933170598000288,239723,13037,1448,1610
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,90,5,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.005312687462773271,0.004215028896251288,116,112,0.004281412344425917,0.004281776491552591,239723,13033,1448,1610
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,30,90,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.001263693372154312,0.0009311073612633963,94,84,0.0009317346848547459,0.0009329210151918232,101723,13013,1446,1607
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,10,5,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.005474444790590244,0.004149077575264653,91,86,0.004149345681071281,0.0041497014462947845,55723,13098,1455,1618
cfg_008,mlp_4x32_elu_drop0p05_l21em06_lr3em03_bs128_nobn,90,1,42,4,32,elu,0.05,1e-06,0.003,128,False,0.011947458522430579,0.009244463915393044,22,2,0.009356614202260971,0.010080982930958271,70199,13037,1448,1610
cfg_008,mlp_4x32_elu_drop0p05_l21em06_lr3em03_bs128_nobn,90,5,42,4,32,elu,0.05,1e-06,0.003,128,False,0.00550832459048266,0.004233661949640319,22,2,0.004336522426456213,0.004677832126617432,70199,13033,1448,1610
cfg_008,mlp_4x32_elu_drop0p05_l21em06_lr3em03_bs128_nobn,30,90,42,4,32,elu,0.05,1e-06,0.003,128,False,0.0012861168558923465,0.0009655543058760765,64,44,0.0009703792165964842,0.000989287393167615,26039,13013,1446,1607
cfg_008,mlp_4x32_elu_drop0p05_l21em06_lr3em03_bs128_nobn,10,5,42,4,32,elu,0.05,1e-06,0.003,128,False,0.00548367190022696,0.004211348873743812,95,75,0.004224112723022699,0.004262333270162344,11319,13098,1455,1618
cfg_009,mlp_1x100_gelu_drop0p1_l21em04_lr1em04_bs256_bn,90,1,42,1,100,gelu,0.1,0.0001,0.0001,256,True,0.018669510395542217,0.014917421975872978,21,1,0.0334792286157608,0.06212868168950081,209723,13037,1448,1610
cfg_009,mlp_1x100_gelu_drop0p1_l21em04_lr1em04_bs256_bn,90,5,42,1,100,gelu,0.1,0.0001,0.0001,256,True,0.01507319960194031,0.012261450832736462,21,1,0.03082554042339325,0.061151452362537384,209723,13033,1448,1610
cfg_009,mlp_1x100_gelu_drop0p1_l21em04_lr1em04_bs256_bn,30,90,42,1,100,gelu,0.1,0.0001,0.0001,256,True,0.0133587418065544,0.01088349264757289,21,1,0.02786443568766117,0.04955665394663811,71723,13013,1446,1607
cfg_009,mlp_1x100_gelu_drop0p1_l21em04_lr1em04_bs256_bn,10,5,42,1,100,gelu,0.1,0.0001,0.0001,256,True,0.013638086604998453,0.011164779891397247,21,1,0.02474825084209442,0.04117320105433464,25723,13098,1455,1618
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,90,1,42,4,64,elu,0.3,1e-05,0.003,128,True,0.011900794308346382,0.009075426735140642,86,66,0.009244950488209724,0.009495297446846962,147287,13037,1448,1610
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,90,5,42,4,64,elu,0.3,1e-05,0.003,128,True,0.005518332368945459,0.004213728977212229,110,90,0.004234052263200283,0.004321377724409103,147287,13033,1448,1610
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,30,90,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0012903008122477416,0.0009656320802743926,127,107,0.0009736467618495226,0.0009896134724840522,58967,13013,1446,1607
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,10,5,42,4,64,elu,0.3,1e-05,0.003,128,True,0.005524434247486899,0.004205461440225961,89,76,0.004214610904455185,0.00423106225207448,29527,13098,1455,1618
cfg_011,mlp_3x128_gelu_drop0p05_l21em04_lr1em03_bs256_nobn,90,1,42,3,128,gelu,0.05,0.0001,0.001,256,False,0.011848871105836423,0.009046807214676445,58,47,0.009046554565429688,0.009051748551428318,301079,13037,1448,1610
cfg_011,mlp_3x128_gelu_drop0p05_l21em04_lr1em03_bs256_nobn,90,5,42,3,128,gelu,0.05,0.0001,0.001,256,False,0.0054849099489721245,0.004148609236362602,54,37,0.004147982224822044,0.004155884962528944,301079,13033,1448,1610
cfg_011,mlp_3x128_gelu_drop0p05_l21em04_lr1em03_bs256_nobn,30,90,42,3,128,gelu,0.05,0.0001,0.001,256,False,0.00127420320815599,0.0009355847350475947,66,46,0.0009355847723782063,0.0009471225785091519,124439,13013,1446,1607
cfg_011,mlp_3x128_gelu_drop0p05_l21em04_lr1em03_bs256_nobn,10,5,42,3,128,gelu,0.05,0.0001,0.001,256,False,0.005488015256785906,0.00415750996233858,48,28,0.004157509654760361,0.004174357745796442,65559,13098,1455,1618
cfg_012,mlp_1x100_elu_drop0p1_l20_lr1em04_bs64_bn,90,1,42,1,100,elu,0.1,0.0,0.0001,64,True,0.011336695440197159,0.009290538795281678,55,35,0.009290539659559727,0.009585406631231308,209723,13037,1448,1610
cfg_012,mlp_1x100_elu_drop0p1_l20_lr1em04_bs64_bn,90,5,42,1,100,elu,0.1,0.0,0.0001,64,True,0.005396575911605416,0.004228731391058694,53,35,0.004228245932608843,0.004354467615485191,209723,13033,1448,1610
cfg_012,mlp_1x100_elu_drop0p1_l20_lr1em04_bs64_bn,30,90,42,1,100,elu,0.1,0.0,0.0001,64,True,0.0013318420368153038,0.0009899433444103844,64,44,0.0009899435099214315,0.00100219389423728,71723,13013,1446,1607
cfg_012,mlp_1x100_elu_drop0p1_l20_lr1em04_bs64_bn,10,5,42,1,100,elu,0.1,0.0,0.0001,64,True,0.005480859783431389,0.004185659250547755,61,41,0.0041856588795781136,0.004203183576464653,25723,13098,1455,1618
