loss,mae,val_loss,val_mae,learning_rate
0.059506043791770935,0.059506043791770935,0.009230841882526875,0.009230841882526875,0.0003000000142492354
0.007333104498684406,0.007333104498684406,0.004154561553150415,0.004154561553150415,0.0003000000142492354
0.005574823822826147,0.005574823822826147,0.004153366666287184,0.004153366666287184,0.0003000000142492354
0.0055170864798128605,0.0055170864798128605,0.004153249319642782,0.004153249319642782,0.0003000000142492354
0.005490880459547043,0.005490880459547043,0.004154438152909279,0.004154438152909279,0.0003000000142492354
0.005492531694471836,0.005492531694471836,0.004153623711317778,0.004153623711317778,0.0003000000142492354
0.005486324895173311,0.005486324895173311,0.004155099857598543,0.004155099857598543,0.0003000000142492354
0.00548051530495286,0.00548051530495286,0.004155801609158516,0.004155801609158516,0.0001500000071246177
0.005480747204273939,0.005480747204273939,0.0041551413014531136,0.0041551413014531136,0.0001500000071246177
0.00547811109572649,0.00547811109572649,0.004155328497290611,0.004155328497290611,0.0001500000071246177
0.005480220541357994,0.005480220541357994,0.004154365509748459,0.004154365509748459,0.0001500000071246177
0.005477692931890488,0.005477692931890488,0.004154970403760672,0.004154970403760672,0.0001500000071246177
0.005475962068885565,0.005475962068885565,0.0041552577167749405,0.0041552577167749405,7.500000356230885e-05
