loss,mae,val_loss,val_mae,learning_rate
0.10504872351884842,0.10504872351884842,0.008400090970098972,0.008400090970098972,0.0003000000142492354
0.005726129747927189,0.005726129747927189,0.0011380610521882772,0.0011380610521882772,0.0003000000142492354
0.0020600557327270508,0.0020600557327270508,0.0010171857429668307,0.0010171857429668307,0.0003000000142492354
0.001588010462000966,0.001588010462000966,0.0009992537088692188,0.0009992537088692188,0.0003000000142492354
0.0014462696854025126,0.0014462696854025126,0.0009832981741055846,0.0009832981741055846,0.0003000000142492354
0.0013843802735209465,0.0013843802735209465,0.0009739642264321446,0.0009739642264321446,0.0003000000142492354
0.0013166266726329923,0.0013166266726329923,0.0009682849049568176,0.0009682849049568176,0.0003000000142492354
0.0013034662697464228,0.0013034662697464228,0.0009616574388928711,0.0009616574388928711,0.0003000000142492354
0.001295397407375276,0.001295397407375276,0.0009542907355353236,0.0009542907355353236,0.0001500000071246177
0.0012888733763247728,0.0012888733763247728,0.0009533008560538292,0.0009533008560538292,0.0001500000071246177
0.0012927980860695243,0.0012927980860695243,0.0009504564804956317,0.0009504564804956317,0.0001500000071246177
0.001286052749492228,0.001286052749492228,0.0009494763799011707,0.0009494763799011707,0.0001500000071246177
0.001281548524275422,0.001281548524275422,0.000947704364079982,0.000947704364079982,0.0001500000071246177
0.0012789698084816337,0.0012789698084816337,0.0009469296201132238,0.0009469296201132238,7.500000356230885e-05
0.0012787870364263654,0.0012787870364263654,0.0009463735623285174,0.0009463735623285174,7.500000356230885e-05
0.0012729932786896825,0.0012729932786896825,0.0009462182642892003,0.0009462182642892003,7.500000356230885e-05
0.001273107249289751,0.001273107249289751,0.000945515523198992,0.000945515523198992,7.500000356230885e-05
0.0012726500863209367,0.0012726500863209367,0.0009453618549741805,0.0009453618549741805,7.500000356230885e-05
0.001271110842935741,0.001271110842935741,0.0009468141361139715,0.0009468141361139715,3.7500001781154424e-05
0.0012722755782306194,0.0012722755782306194,0.0009455931140109897,0.0009455931140109897,3.7500001781154424e-05
0.0012697528582066298,0.0012697528582066298,0.00094539241399616,0.00094539241399616,3.7500001781154424e-05
0.0012726015411317348,0.0012726015411317348,0.0009451350197196007,0.0009451350197196007,3.7500001781154424e-05
0.0012724291300401092,0.0012724291300401092,0.0009450449724681675,0.0009450449724681675,3.7500001781154424e-05
0.0012746021384373307,0.0012746021384373307,0.0009443165035918355,0.0009443165035918355,1.8750000890577212e-05
0.0012723406543955207,0.0012723406543955207,0.0009443044546060264,0.0009443044546060264,1.8750000890577212e-05
0.001273122732527554,0.001273122732527554,0.000943733670283109,0.000943733670283109,1.8750000890577212e-05
0.001267367391847074,0.001267367391847074,0.0009431293583475053,0.0009431293583475053,1.8750000890577212e-05
0.0012688158312812448,0.0012688158312812448,0.0009427831973880529,0.0009427831973880529,1.8750000890577212e-05
0.0012656589969992638,0.0012656589969992638,0.0009421835420653224,0.0009421835420653224,9.375000445288606e-06
0.0012683786917477846,0.0012683786917477846,0.0009420497808605433,0.0009420497808605433,9.375000445288606e-06
0.0012661614455282688,0.0012661614455282688,0.0009420231799595058,0.0009420231799595058,9.375000445288606e-06
0.001272509922273457,0.001272509922273457,0.0009419301641173661,0.0009419301641173661,9.375000445288606e-06
0.0012726320419460535,0.0012726320419460535,0.000941943028010428,0.000941943028010428,9.375000445288606e-06
0.001271100714802742,0.001271100714802742,0.0009416121174581349,0.0009416121174581349,4.687500222644303e-06
0.0012663670349866152,0.0012663670349866152,0.0009416381944902241,0.0009416381944902241,4.687500222644303e-06
0.0012667713453993201,0.0012667713453993201,0.0009415260865353048,0.0009415260865353048,4.687500222644303e-06
0.0012659059138968587,0.0012659059138968587,0.0009415044914931059,0.0009415044914931059,4.687500222644303e-06
0.0012674678582698107,0.0012674678582698107,0.0009414282976649702,0.0009414282976649702,4.687500222644303e-06
0.0012708010617643595,0.0012708010617643595,0.0009412200306542218,0.0009412200306542218,2.3437501113221515e-06
0.0012701274827122688,0.0012701274827122688,0.0009411349892616272,0.0009411349892616272,2.3437501113221515e-06
