input_window,output_window,model,MAE_train,MAE_val,MAE_test,params,epochs_trained,filters,kernel_size,rnn_units,dense_units,spatial_dropout,dropout,learning_rate,batch_size,history_path,plot_path,LR_MAE_train,LR_MAE_test,delta_vs_lr,pct_delta_vs_lr
10,30,CNN_GRU,0.0022019189244073707,0.001698527509930831,0.0023197140191211865,35351,35,64,3,64,64,0.1,0.15,0.0003,128,data/hybrid/history/hybrid_CNN_GRU_input10_output30_history.csv,data/hybrid/plots/hybrid_CNN_GRU_input10_output30_loss_curve.png,0.0021813474166783,0.0023584127676739,-3.869874855271351e-05,-1.6408810655686046
10,90,CNN_GRU,0.0012678380975484102,0.0009255387974828743,0.0012772014000845705,35351,18,64,3,64,64,0.1,0.15,0.0003,128,data/hybrid/history/hybrid_CNN_GRU_input10_output90_history.csv,data/hybrid/plots/hybrid_CNN_GRU_input10_output90_loss_curve.png,0.0012579262335722,0.0012823888141489,-5.187414064329512e-06,-0.4045117991591584
30,1,CNN_GRU,0.011839064340824984,0.009037314276052972,0.012245782536809864,35351,17,64,3,64,64,0.1,0.15,0.0003,128,data/hybrid/history/hybrid_CNN_GRU_input30_output1_history.csv,data/hybrid/plots/hybrid_CNN_GRU_input30_output1_loss_curve.png,0.0116762911517956,0.0129242090379903,-0.000678426501180435,-5.249269020535198
30,5,CNN_LSTM,0.005483642863130011,0.004153366739480499,0.005595812866250607,43415,13,64,3,64,64,0.1,0.15,0.0003,128,data/hybrid/history/hybrid_CNN_LSTM_input30_output5_history.csv,data/hybrid/plots/hybrid_CNN_LSTM_input30_output5_loss_curve.png,0.005337319584572,0.0058767446294091,-0.0002809317631584929,-4.780397666977411
