model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params
mlp_2x100_relu,5,1,0.011591573778659395,0.009026185609400272,0.012315929508667365,500,24254
mlp_2x100_relu,5,5,0.005375703956944034,0.0042792195454239845,0.005774837038496532,500,24254
mlp_2x100_relu,5,30,0.0022393611433661927,0.0019983218517154455,0.002700970855662992,500,24254
mlp_2x100_relu,5,90,0.001352630671315093,0.0012528408551588655,0.0017047468318249978,500,24254
mlp_2x100_relu,10,1,0.011592534624630746,0.009065800346434116,0.01234162968923623,500,35984
mlp_2x100_relu,10,5,0.0053626149347471294,0.004162312019616365,0.005670364505527578,500,35984
mlp_2x100_relu,10,30,0.00223655254428045,0.001969526754692197,0.002853601312856621,500,35984
mlp_2x100_relu,10,90,0.0013525742699030433,0.0012369854375720024,0.0018818756224533108,500,35984
mlp_2x100_relu,30,1,0.011664742859275368,0.00972589198499918,0.01339578828250955,500,82904
mlp_2x100_relu,30,5,0.005434439505545242,0.004867891781032085,0.006763697838232325,500,82904
mlp_2x100_relu,30,30,0.002287534929402986,0.002394268522039056,0.0036084977689587517,500,82904
mlp_2x100_relu,30,90,0.0014034274498700564,0.0016925910022109747,0.002680595677170326,500,82904
mlp_2x100_relu,90,1,0.011611700682056697,0.009114943444728851,0.01254964229933668,500,223664
mlp_2x100_relu,90,5,0.005455539411445725,0.005012934561818838,0.007031237106472141,500,223664
mlp_2x100_relu,90,30,0.00223098224505331,0.0019323433516547084,0.0025929201723593233,500,223664
mlp_2x100_relu,90,90,0.0014170285916108745,0.0018988423980772495,0.002878132057581888,500,223664
