model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params
mlp_3x200_relu,5,1,0.011589780762098557,0.009016728028655052,0.012272733752903857,200,108454
mlp_3x200_relu,5,5,0.005364636384909927,0.004162763245403767,0.0056134826648505136,200,108454
mlp_3x200_relu,5,30,0.0022158370448826133,0.0017683225451037288,0.0023930917865200487,200,108454
mlp_3x200_relu,5,90,0.001332244146093267,0.0010290266945958138,0.0013778676542263151,200,108454
mlp_3x200_relu,10,1,0.011590345733415813,0.009019809775054455,0.012272715788209173,200,131684
mlp_3x200_relu,10,5,0.005362968638473842,0.00415984308347106,0.005612884911815365,200,131684
mlp_3x200_relu,10,30,0.0022167447122360207,0.0017671777168288827,0.002391473396381097,200,131684
mlp_3x200_relu,10,90,0.001328852820162922,0.001028729137033224,0.0013768085864639453,200,131684
mlp_3x200_relu,30,1,0.011593755289128082,0.009023652411997318,0.01228212602514448,200,224604
mlp_3x200_relu,30,5,0.0053635549392326825,0.00415506586432457,0.0056123606440177595,200,224604
mlp_3x200_relu,30,30,0.002225819512866691,0.0017768937395885587,0.002396074569477677,200,224604
mlp_3x200_relu,30,90,0.0013399156434345846,0.001046307967044413,0.0013886559953672204,200,224604
mlp_3x200_relu,90,1,0.011604816466601397,0.009050456807017326,0.012299287196635733,200,503364
mlp_3x200_relu,90,5,0.005373554405856588,0.004190278705209494,0.005624691185652708,200,503364
mlp_3x200_relu,90,30,0.002218225193281849,0.0017844840185716748,0.002400216279513651,200,503364
mlp_3x200_relu,90,90,0.0013325635061870573,0.0010574407642707229,0.0013905341899713645,200,503364
