model_name,input_window,output_window,epoch,loss,val_loss
mlp_2x100_bn_l2,5,1,1,0.48561355471611023,0.1778377741575241
mlp_2x100_bn_l2,5,1,2,0.17092406749725342,0.10176058858633041
mlp_2x100_bn_l2,5,1,3,0.09193822741508484,0.06419017165899277
mlp_2x100_bn_l2,5,1,4,0.06325127929449081,0.04745645448565483
mlp_2x100_bn_l2,5,1,5,0.04958989471197128,0.038837745785713196
mlp_2x100_bn_l2,5,1,6,0.04203825816512108,0.033908117562532425
mlp_2x100_bn_l2,5,1,7,0.03740961104631424,0.030787689611315727
mlp_2x100_bn_l2,5,1,8,0.03430313244462013,0.028571540489792824
mlp_2x100_bn_l2,5,1,9,0.031922925263643265,0.02679968811571598
mlp_2x100_bn_l2,5,1,10,0.030047696083784103,0.02523789368569851
mlp_2x100_bn_l2,5,1,11,0.0285883080214262,0.02386738918721676
mlp_2x100_bn_l2,5,1,12,0.027209609746932983,0.022619616240262985
mlp_2x100_bn_l2,5,1,13,0.025826672092080116,0.021655267104506493
mlp_2x100_bn_l2,5,1,14,0.024742161855101585,0.02086458168923855
mlp_2x100_bn_l2,5,1,15,0.023694481700658798,0.019856775179505348
mlp_2x100_bn_l2,5,1,16,0.022658612579107285,0.01887403056025505
mlp_2x100_bn_l2,5,1,17,0.02173922024667263,0.01792101562023163
mlp_2x100_bn_l2,5,1,18,0.020855780690908432,0.01737101934850216
mlp_2x100_bn_l2,5,1,19,0.020025193691253662,0.016688302159309387
mlp_2x100_bn_l2,5,1,20,0.019369807094335556,0.015871932730078697
mlp_2x100_bn_l2,5,1,21,0.018734265118837357,0.0151643306016922
mlp_2x100_bn_l2,5,1,22,0.017970852553844452,0.014598515816032887
mlp_2x100_bn_l2,5,1,23,0.01737368106842041,0.01389084942638874
mlp_2x100_bn_l2,5,1,24,0.016972851008176804,0.01386105827987194
mlp_2x100_bn_l2,5,1,25,0.01640591211616993,0.01310684997588396
mlp_2x100_bn_l2,5,1,26,0.015949567779898643,0.012699108570814133
mlp_2x100_bn_l2,5,1,27,0.015723073855042458,0.012651626951992512
mlp_2x100_bn_l2,5,1,28,0.015350147150456905,0.01222797017544508
mlp_2x100_bn_l2,5,1,29,0.015109745785593987,0.011984272859990597
mlp_2x100_bn_l2,5,1,30,0.014880678616464138,0.011701413430273533
mlp_2x100_bn_l2,5,1,31,0.014779406599700451,0.01179009024053812
mlp_2x100_bn_l2,5,1,32,0.01456306129693985,0.011644001118838787
mlp_2x100_bn_l2,5,1,33,0.014339801855385303,0.01139493752270937
mlp_2x100_bn_l2,5,1,34,0.014264916069805622,0.011173623614013195
mlp_2x100_bn_l2,5,1,35,0.014042316935956478,0.010956905782222748
mlp_2x100_bn_l2,5,1,36,0.013974386267364025,0.01081465370953083
mlp_2x100_bn_l2,5,1,37,0.013924098573625088,0.010749055072665215
mlp_2x100_bn_l2,5,1,38,0.013811747543513775,0.010719917714595795
mlp_2x100_bn_l2,5,1,39,0.013754806481301785,0.010630120523273945
mlp_2x100_bn_l2,5,1,40,0.013636978343129158,0.010789206251502037
mlp_2x100_bn_l2,5,1,41,0.013701855204999447,0.010852834209799767
mlp_2x100_bn_l2,5,1,42,0.013625739142298698,0.010492745786905289
mlp_2x100_bn_l2,5,1,43,0.013574597425758839,0.01050258707255125
mlp_2x100_bn_l2,5,1,44,0.013590277172625065,0.0106555987149477
mlp_2x100_bn_l2,5,1,45,0.013491308316588402,0.010646379552781582
mlp_2x100_bn_l2,5,1,46,0.01342103723436594,0.010385376401245594
mlp_2x100_bn_l2,5,1,47,0.013431322760879993,0.010513861663639545
mlp_2x100_bn_l2,5,1,48,0.013421690091490746,0.010318754240870476
mlp_2x100_bn_l2,5,1,49,0.013371432200074196,0.010345409624278545
mlp_2x100_bn_l2,5,1,50,0.013381067663431168,0.010520322248339653
mlp_2x100_bn_l2,5,1,51,0.01343821082264185,0.01037904154509306
mlp_2x100_bn_l2,5,1,52,0.013401966542005539,0.010278712958097458
mlp_2x100_bn_l2,5,1,53,0.013338126242160797,0.010629537515342236
mlp_2x100_bn_l2,5,1,54,0.013379338197410107,0.010523604229092598
mlp_2x100_bn_l2,5,1,55,0.013415871188044548,0.010345535352826118
mlp_2x100_bn_l2,5,1,56,0.013378391042351723,0.01044220570474863
mlp_2x100_bn_l2,5,1,57,0.01332901231944561,0.010609613731503487
mlp_2x100_bn_l2,5,1,58,0.013338904827833176,0.010441540740430355
mlp_2x100_bn_l2,5,1,59,0.013343477621674538,0.010420096106827259
mlp_2x100_bn_l2,5,1,60,0.013330331072211266,0.0105814877897501
mlp_2x100_bn_l2,5,1,61,0.013307793065905571,0.010318621061742306
mlp_2x100_bn_l2,5,1,62,0.013320044614374638,0.010145020671188831
mlp_2x100_bn_l2,5,1,63,0.013349208980798721,0.010314274579286575
mlp_2x100_bn_l2,5,1,64,0.013311703689396381,0.010505822487175465
mlp_2x100_bn_l2,5,1,65,0.013396884314715862,0.010140943340957165
mlp_2x100_bn_l2,5,1,66,0.013432039879262447,0.01029753778129816
mlp_2x100_bn_l2,5,1,67,0.01335093379020691,0.010245886631309986
mlp_2x100_bn_l2,5,1,68,0.013479195535182953,0.010312910191714764
mlp_2x100_bn_l2,5,1,69,0.013384529389441013,0.0103532699868083
mlp_2x100_bn_l2,5,1,70,0.013416007161140442,0.010287163779139519
mlp_2x100_bn_l2,5,1,71,0.013314272277057171,0.010474693030118942
mlp_2x100_bn_l2,5,1,72,0.013433178886771202,0.010225285775959492
mlp_2x100_bn_l2,5,1,73,0.013312052004039288,0.01020787376910448
mlp_2x100_bn_l2,5,1,74,0.013339098542928696,0.010463508777320385
mlp_2x100_bn_l2,5,1,75,0.01331564225256443,0.010565606877207756
mlp_2x100_bn_l2,5,1,76,0.013476911932229996,0.010280895978212357
mlp_2x100_bn_l2,5,1,77,0.013320503756403923,0.010141633450984955
mlp_2x100_bn_l2,5,1,78,0.013229681178927422,0.010165553539991379
