model_name,input_window,output_window,epoch,loss,val_loss
mlp_2x100_dropout,5,1,1,0.012082424014806747,0.009038059040904045
mlp_2x100_dropout,5,1,2,0.011863785795867443,0.009036500006914139
mlp_2x100_dropout,5,1,3,0.011851239949464798,0.009035950526595116
mlp_2x100_dropout,5,1,4,0.011845198459923267,0.009034448303282261
mlp_2x100_dropout,5,1,5,0.01183514017611742,0.009039382450282574
mlp_2x100_dropout,5,1,6,0.011831839568912983,0.009035948663949966
mlp_2x100_dropout,5,1,7,0.011820586398243904,0.009033041074872017
mlp_2x100_dropout,5,1,8,0.011812710203230381,0.009036228992044926
mlp_2x100_dropout,5,1,9,0.011799915693700314,0.009043415077030659
mlp_2x100_dropout,5,1,10,0.011797408573329449,0.009043504483997822
mlp_2x100_dropout,5,1,11,0.011769323609769344,0.009027873165905476
mlp_2x100_dropout,5,1,12,0.011773643083870411,0.009048685431480408
mlp_2x100_dropout,5,1,13,0.01177184283733368,0.009042919613420963
mlp_2x100_dropout,5,1,14,0.011747964657843113,0.00904792919754982
mlp_2x100_dropout,5,1,15,0.011729104444384575,0.009034770540893078
mlp_2x100_dropout,5,1,16,0.01172515470534563,0.00903831422328949
mlp_2x100_dropout,5,1,17,0.011709545738995075,0.009043346159160137
mlp_2x100_dropout,5,1,18,0.011709947139024734,0.009074514731764793
mlp_2x100_dropout,5,1,19,0.011688007973134518,0.009073528461158276
mlp_2x100_dropout,5,1,20,0.011672202497720718,0.009056655690073967
mlp_2x100_dropout,5,1,21,0.011675743386149406,0.009047308936715126
mlp_2x100_dropout,5,1,22,0.011642556637525558,0.009059860371053219
mlp_2x100_dropout,5,1,23,0.011653805151581764,0.009051112458109856
mlp_2x100_dropout,5,1,24,0.011633670888841152,0.009048186242580414
mlp_2x100_dropout,5,1,25,0.011636365205049515,0.009088077582418919
mlp_2x100_dropout,5,1,26,0.011608759872615337,0.009060803800821304
mlp_2x100_dropout,5,1,27,0.011586912907660007,0.009059319272637367
mlp_2x100_dropout,5,1,28,0.011566994711756706,0.00906763132661581
mlp_2x100_dropout,5,1,29,0.011591681279242039,0.009057662449777126
mlp_2x100_dropout,5,1,30,0.011558212339878082,0.00905672274529934
mlp_2x100_dropout,5,1,31,0.011550214141607285,0.009072133339941502
mlp_2x100_dropout,5,1,32,0.011528059840202332,0.00904066115617752
mlp_2x100_dropout,5,1,33,0.011526023969054222,0.009051037020981312
mlp_2x100_dropout,5,1,34,0.01150688249617815,0.009055901318788528
mlp_2x100_dropout,5,1,35,0.011485354043543339,0.009060011245310307
mlp_2x100_dropout,5,1,36,0.011490201577544212,0.0090749841183424
mlp_2x100_dropout,5,1,37,0.011495967395603657,0.009073516353964806
mlp_2x100_dropout,5,1,38,0.011487186886370182,0.009069612249732018
mlp_2x100_dropout,5,1,39,0.011475175619125366,0.009089726954698563
mlp_2x100_dropout,5,1,40,0.011447198688983917,0.009065676480531693
mlp_2x100_dropout,5,1,41,0.011424976401031017,0.009060243144631386
mlp_2x100_dropout,5,1,42,0.011425189673900604,0.009082783944904804
mlp_2x100_dropout,5,1,43,0.0114293759688735,0.009058482013642788
mlp_2x100_dropout,5,1,44,0.011401588097214699,0.009104408323764801
mlp_2x100_dropout,5,1,45,0.011408296413719654,0.00908626802265644
mlp_2x100_dropout,5,1,46,0.011383378878235817,0.009089100174605846
mlp_2x100_dropout,5,1,47,0.011376569047570229,0.0090934531763196
mlp_2x100_dropout,5,1,48,0.011363882571458817,0.009080645628273487
mlp_2x100_dropout,5,1,49,0.011363494209945202,0.009105195291340351
mlp_2x100_dropout,5,1,50,0.011354913003742695,0.009074341505765915
mlp_2x100_dropout,5,1,51,0.011340075172483921,0.009117741137742996
mlp_2x100_dropout,5,1,52,0.01132967509329319,0.009093772619962692
mlp_2x100_dropout,5,1,53,0.01132869441062212,0.009086927399039268
mlp_2x100_dropout,5,1,54,0.011304659768939018,0.009094715118408203
mlp_2x100_dropout,5,1,55,0.01131646428257227,0.009108484722673893
mlp_2x100_dropout,5,1,56,0.011281104758381844,0.009102697484195232
mlp_2x100_dropout,5,1,57,0.011282005347311497,0.009090610779821873
mlp_2x100_dropout,5,1,58,0.011275175958871841,0.009110817685723305
mlp_2x100_dropout,5,1,59,0.011275329627096653,0.009100756607949734
mlp_2x100_dropout,5,1,60,0.011242303997278214,0.009102974086999893
mlp_2x100_dropout,5,1,61,0.011261401697993279,0.009111461229622364
mlp_2x100_dropout,5,1,62,0.01125553622841835,0.009111819788813591
mlp_2x100_dropout,5,1,63,0.011243771761655807,0.009095977991819382
