model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params
mlp_3x128_gelu_dropout_l2,5,1,0.011589447442091486,0.009030555374920368,0.01222447035619731,500,50839
mlp_3x128_gelu_dropout_l2,5,5,0.005357362322284054,0.004148352891206741,0.005593796818880105,500,50839
mlp_3x128_gelu_dropout_l2,5,30,0.0022013762743925388,0.0017253924161195755,0.00238334173346301,500,50839
mlp_3x128_gelu_dropout_l2,5,90,0.0013156518962020422,0.0009518772130832076,0.0013647380527941615,500,50839
mlp_3x128_gelu_dropout_l2,10,1,0.011585909216009655,0.009021193720400333,0.01222548596557133,500,65559
mlp_3x128_gelu_dropout_l2,10,5,0.005358816062066502,0.004149018786847591,0.005592672531376895,500,65559
mlp_3x128_gelu_dropout_l2,10,30,0.002190711130054268,0.0017205796902999282,0.0023732477342287652,500,65559
mlp_3x128_gelu_dropout_l2,10,90,0.001314977377720632,0.0009509994997642934,0.0013661243420155058,500,65559
mlp_3x128_gelu_dropout_l2,30,1,0.011592642424505929,0.009018589742481709,0.012231814282165744,500,124439
mlp_3x128_gelu_dropout_l2,30,5,0.005357466233607073,0.004147069063037634,0.005595892564378387,500,124439
mlp_3x128_gelu_dropout_l2,30,30,0.002188054126190781,0.0017166389152407646,0.002356807686293032,500,124439
mlp_3x128_gelu_dropout_l2,30,90,0.0012990654941990247,0.0009441975853405893,0.0013582691427108985,500,124439
mlp_3x128_gelu_dropout_l2,90,1,0.011603591330711132,0.009026376530528069,0.01224892137520644,500,301079
mlp_3x128_gelu_dropout_l2,90,5,0.005365026560543114,0.00414517056196928,0.0056045264108907636,500,301079
mlp_3x128_gelu_dropout_l2,90,30,0.002179340509840464,0.001727961702272296,0.002365091280629923,500,301079
mlp_3x128_gelu_dropout_l2,90,90,0.001270675813502378,0.0009602878126315773,0.0013411273629940056,500,301079
