input_window,output_window,model,MAE_train,MAE_val,MAE_test,params,epochs_trained,filters,kernel_size,rnn_units,dense_units,spatial_dropout,dropout,learning_rate,batch_size,history_path,plot_path
10,30,CNN_GRU,0.0022019189244073707,0.001698527509930831,0.0023197140191211865,35351,35,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input10_output30_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input10_output30_loss_curve.png
10,90,CNN_GRU,0.0012678380975484102,0.0009255387974828743,0.0012772014000845705,35351,18,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input10_output90_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input10_output90_loss_curve.png
30,1,CNN_GRU,0.011839064340824984,0.009037314276052972,0.012245782536809864,35351,17,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input30_output1_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input30_output1_loss_curve.png
30,5,CNN_LSTM,0.005483642863130011,0.004153366739480499,0.005595812866250607,43415,13,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_LSTM_input30_output5_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_LSTM_input30_output5_loss_curve.png
