model,input_window,output_window,MAE_train,MAE_val,MAE_test,params,selected_trial_id,selection_metric,improvement_abs_vs_lr,improvement_pct_vs_lr
Linear_Regression_Benchmark,30,5,0.005337319584572,,0.0058767446294091,,,,0.0,0.0
CNN_Optimized_RandomSearch,30,5,0.0054793414875863745,0.0041367089167203925,0.005597715517218915,81495.0,2.0,MAE_val,0.0002790291121901852,4.7480217328797085
